1,Mike Rozier,275,2148,7.8,29,10,106,10.6,0
2,Turner Gill,109,531,4.9,11,,,,
3,Jeff Smith,78,439,5.6,5,6,146,24.3,2
4,Mark Schellen,77,450,5.8,9,2,10,5.0,0
5,Nate Mason,35,222,6.3,2,,,,
6,Paul Miles,29,281,9.7,3,1,24,24.0,0
7,Tom Rathman,26,143,5.5,0,2,26,13.0,1
8,Irving Fryar,23,318,13.8,2,40,780,19.5,8
9,Craig Sundberg,18,86,4.8,4,,,,
10,Tim Brungardt,18,65,3.6,1,1,8,8.0,0
11,Scott Porter,9,31,3.4,0,,,,
12,Greg Divis,6,28,4.7,0,,,,
13,Pat Borer,4,24,6.0,0,,,,
14,Bob Kingston,4,1,0.3,0,,,,
15,Shane Swanson,3,25,8.3,0,5,66,13.2,1
16,Travis Turner,3,19,6.3,0,,,,
17,Jim Thompson,2,-4,-2.0,0,1,4,4.0,0
18,Ricky Simmons,1,12,12.0,0,13,137,10.5,0
19,Roger Lindstrom,1,11,11.0,0,,,,
